,OSA,Healthy
Chin-C4t,0.0002842991970187867,0.00127519139880586
Chin-C4a,0.002792103021744018,0.008943754857612705
Chin-C4s,0.0027780800352804696,0.008392902399754603
Chin-C4b,0.004132593825241366,0.012255126776957968
Chin-O2d,0.005043412893523819,0.020072329322092682
Chin-O2t,0.0014021856170300768,0.004235873230592687
Chin-O2a,0.002749665435949571,0.009586177689751046
Chin-O2s,0.003257959928580357,0.014265154183267298
Chin-O2b,0.005643831251823696,0.025205303693153165
Leg-Eye1,-0.008826377893392776,-0.005245591141667846
Leg-Eye2,0.0006465428057809926,0.001625869240006721
Leg-FLd,0.0011291079404264393,0.0032692458314778445
Leg-FLt,0.0023402987422168416,0.0068151641527682254
Leg-FLa,0.0027192372130595078,0.010111029606660714
Leg-FLs,0.002838175201868675,0.00928449720125971
Leg-FLb,0.0034441485202091867,0.012300673144183646
Leg-C3d,6.967636793894934e-05,0.0004559654148297676
Leg-C3t,0.0015594787680940567,0.003414619116538948
Leg-C3a,0.0021691606244213695,0.007716678888369566
Leg-C3s,0.002652154560656935,0.007163298228342971
Leg-C3b,0.004133606806727305,0.017231932324788514
Leg-O1d,0.0023217940134495027,0.006991891641042984
Leg-O1t,0.0012395545639617245,0.003557764865363278
Leg-O1a,0.0021789304772126435,0.007479592162187246
Leg-O1s,0.002312628253121219,0.008662361797626954
Leg-O1b,0.002978222647052183,0.013106926527773441
Leg-FRd,0.0017615648247836465,0.005781026338010053
Leg-FRt,0.001948123173553472,0.005587973256663992
Leg-FRa,0.002776280351557798,0.009378266417245634
Leg-FRs,0.0025047315852763604,0.007986161442445336
Leg-FRb,0.0033852846871667243,0.013124194516877302
Leg-C4d,0.0018736913254045952,0.006210935242704918
Leg-C4t,0.0014498904761999407,0.004048683200736167
Leg-C4a,0.003193057248506667,0.011403180871834473
Leg-C4s,0.001940707909966764,0.006009028502600894
Leg-C4b,0.004003357431086013,0.016675717515290723
Leg-O2d,0.002343105000062841,0.007670195776614611
Leg-O2t,0.0017049106557081293,0.004479901382875305
Leg-O2a,0.0027559294691659165,0.010134435907188172
Leg-O2s,0.002035334348343108,0.007274209868861554
Leg-O2b,0.0023202388318926902,0.009580248101943436
Eye1-Eye2,-0.0018184507567345382,-0.0011844566878464655
Eye1-FLd,-0.006878948060517182,-0.004558467342359112
Eye1-FLt,-0.005404617234527653,-0.0027686115089219877
Eye1-FLa,-0.00586480514799636,-0.004186985620868637
Eye1-FLs,-0.004214245230632728,-0.0034511264838123536
Eye1-FLb,-0.0002718236275291973,-0.00034418125258463934
Eye1-C3d,-0.006293357261096644,-0.0036390878820637892
Eye1-C3t,-0.0065789551054829575,-0.004374252311443008
Eye1-C3a,-0.006826539213763262,-0.004473236163207833
Eye1-C3s,-0.002423268573717792,-0.0020025078640534136
Eye1-C3b,-0.0014809242628462055,-0.0011335191176483476
Eye1-O1d,-0.004663788410906297,-0.0031425603648712872
Eye1-O1t,0.0010469825503467566,0.0007708581087155049
Eye1-O1a,0.0006625493427168816,0.0006804953972107243
Eye1-O1s,0.0014931697736509137,0.0024663488576021097
Eye1-O1b,0.0017551315782996153,0.003358633132646875
Eye1-FRd,-0.0018078590150756677,0.00042241554395954645
Eye1-FRt,-0.003657192267888813,-0.0026110783747243286
Eye1-FRa,-0.005588648172841196,-0.0037315604245694465
Eye1-FRs,-0.0048835471416940205,-0.003933536280816092
Eye1-FRb,-0.005068165576208894,-0.004110836878306642
Eye1-C4d,-0.002265492456268634,-0.0016477487276666217
Eye1-C4t,-0.002334521164124493,-0.001876986648078803
Eye1-C4a,-0.0037904705332265907,-0.002450018696283235
Eye1-C4s,0.0014126508564940897,0.0011436283429294633
Eye1-C4b,-0.004541529782800668,-0.003296238779560875
Eye1-O2d,-0.00558877188371587,-0.003687266201813618
Eye1-O2t,0.0013221817022335315,0.0016957368651063845
Eye1-O2a,-0.0015810577490368606,-0.001147525966728342
Eye1-O2s,0.002880941876365864,0.004108023370479967
Eye1-O2b,0.00034109153970904164,0.0015030511365354223
Eye2-FLd,-0.005919121262859298,-0.003725465944123654
Eye2-FLt,-0.007325956486810671,-0.003972212683209711
Eye2-FLa,-0.007571862694091716,-0.006204319853350479
Eye2-FLs,-0.0054478797765040166,-0.004683436936245797
Eye2-FLb,-0.001779461561875356,-0.00033918010065106253
Eye2-C3d,-0.006450652423626427,-0.004106705747556245
Eye2-C3t,-0.012832352149631285,-0.005226469793852417
Eye2-C3a,-0.009385423978247891,-0.005691005263782453
Eye2-C3s,-0.0036526173036582907,-0.0028513900701034886
Eye2-C3b,-0.006767889917176531,-0.00506346815831304
Eye2-O1d,-0.01656737187155007,-0.008066354953472733
Eye2-O1t,-0.008088824809184667,-0.004465536143296879
Eye2-O1a,-0.005219027743545464,-0.004146917815618381
Eye2-O1s,-0.0002488678003331276,-0.00040018778900950826
Eye2-O1b,0.0003214108323794752,0.001299290568679133
Eye2-FRd,-0.010003492543626433,-0.00706960203557533
Eye2-FRt,-0.01398651332833355,-0.006543745265950774
Eye2-FRa,-0.014499623030473294,-0.008149774572720581
Eye2-FRs,-0.016045224454480658,-0.00880992207002052
Eye2-FRb,-0.015480301905576718,-0.009724015074039166
Eye2-C4d,-0.012768302807013765,-0.006115968592755224
Eye2-C4t,-0.014885442087034939,-0.006614835076856064
Eye2-C4a,-0.012672031296473683,-0.007925633310951813
Eye2-C4s,-0.0062362360705089295,-0.004399230054247552
Eye2-C4b,-0.00978183359397994,-0.005919000106706527
Eye2-O2d,-0.008476531320069303,-0.007112707643764102
Eye2-O2t,-0.0036559093062602235,-0.003683584309147784
Eye2-O2a,-0.0021412811319972288,-0.002162757320586058
Eye2-O2s,-0.00044948774603776546,-0.0009411087906318566
Eye2-O2b,-0.00037573881132959197,0.0006196930484500577
FLd-FLt,-0.0029614246516739525,0.0009546313482432587
FLd-FLa,-0.000762875849959487,0.0009237183784755831
FLd-FLs,-0.0005400338809108682,0.0007255959692976647
FLd-FLb,-0.0001598822423357922,0.0020803549949963383
FLd-C3d,-0.0037749261133553117,-0.00017043158812362553
FLd-C3t,-0.009935944393094495,-0.005571767860914989
FLd-C3a,-0.0046622407065563,-0.00339130125716446
FLd-C3s,-0.005043744714407029,-0.0043422860126621785
FLd-C3b,-0.0019308140955562499,-0.001012683095061907
FLd-O1d,-0.00445965381213528,-0.0022825604283121933
FLd-O1t,0.0008958316017645736,0.0010406651825856645
FLd-O1a,0.0005306638051611414,0.000569613582578958
FLd-O1s,-0.0005344921429481019,-0.00034179093952533884
FLd-O1b,0.0015582042029898436,0.0033528671162453387
FLd-FRd,-0.0036728145091736706,-0.0007157856060311444
FLd-FRt,-0.006277708032710763,-0.004013926358425034
FLd-FRa,-0.006785589512597304,-0.0027847732993424848
FLd-FRs,-0.004735190671485617,-0.0029238855617456858
FLd-FRb,-0.004457060646173537,-0.002946608152602403
FLd-C4d,-0.002634613183499219,-0.0009589117283515738
FLd-C4t,-0.007415528823821448,-0.003908502238659978
FLd-C4a,-0.004182514286303946,-0.0023072147894487886
FLd-C4s,-0.004075048373865795,-0.0029571805679586205
FLd-C4b,-0.007796111569045266,-0.00585729289391326
FLd-O2d,-0.001234571960600292,-0.0004291869046751371
FLd-O2t,0.0015118710627360136,0.0018214960071286969
FLd-O2a,0.0010816938537597692,0.002399846278989002
FLd-O2s,-0.0008526972075864244,-0.0008609359902727335
FLd-O2b,0.0025237108174219853,0.0050896334139007866
FLt-FLa,-0.003845093616400769,-0.0007153359124306505
FLt-FLs,0.0003372488601336222,0.0006496114031399241
FLt-FLb,0.0022751217465573808,0.0050955520510928085
FLt-C3d,-0.005582495872421973,-0.0013921818447454597
FLt-C3t,-0.0015919467070574737,0.0005177862984392864
FLt-C3a,-0.0016957202725582314,-0.0007004639413392465
FLt-C3s,-0.0008203767083150122,-0.0005101449006087989
FLt-C3b,-0.005575415523445204,-0.0043422173962476
FLt-O1d,-0.004253605644645573,-0.002707099729845812
FLt-O1t,0.0005909064907867486,0.0006497045955237141
FLt-O1a,0.0011344806869150203,0.0009358468032746039
FLt-O1s,-0.0006271325899657625,-0.0007567906023758823
FLt-O1b,-0.0015298046292446124,-0.0012483875324624356
FLt-FRd,-0.0007922415884220754,0.0024768917822784882
FLt-FRt,-0.004162380355991705,-0.003258419548079883
FLt-FRa,-0.004470400721865312,-0.0009831502513030338
FLt-FRs,-0.005760166243950887,-0.0037396081255142177
FLt-FRb,-0.0060330467524878206,-0.0027907213531714473
FLt-C4d,-0.004300027040908168,-0.002419249994266952
FLt-C4t,-0.008124357256491802,-0.0037316421715158803
FLt-C4a,-0.002591598832027294,-0.0011678696938612313
FLt-C4s,-0.0026794576240292143,-0.0012526908098459634
FLt-C4b,-0.006989710918432516,-0.0036385173658320404
FLt-O2d,-0.00019006722681309913,0.0015519312567453584
FLt-O2t,0.0014925747170376348,0.0012325771018961795
FLt-O2a,0.0015497830828205765,0.0021787190827042813
FLt-O2s,-0.0013537902412646165,-0.0011519130473382603
FLt-O2b,-0.0010422759878378732,-0.00012373458526105315
FLa-FLs,-0.00488058409749609,-0.00274447689132829
FLa-FLb,0.00033002435678877154,0.0031654651762848722
FLa-C3d,-0.004608162405145813,-0.0023219324320207344
FLa-C3t,-0.007219810174221586,-0.004891168112902946
FLa-C3a,-0.0016807135918603677,0.0005631691161077217
FLa-C3s,-0.0016785946226380698,-0.0012617685131294022
FLa-C3b,-0.0035816834891546747,-0.0015055853960332314
FLa-O1d,-0.0024940874676798864,-0.0019908803615759476
FLa-O1t,-0.0024762465856020795,-0.0027935532046544738
FLa-O1a,-0.0005615866170477287,-0.001647060774731355
FLa-O1s,-0.00715761698851749,-0.00503864759012362
FLa-O1b,-0.0006879713805500476,-0.0004081205022209631
FLa-FRd,-0.00043130688820119717,0.0007778017369838138
FLa-FRt,-0.004552439881874348,-0.002656143506085308
FLa-FRa,-0.002822313747915569,-0.00021222356232716532
FLa-FRs,-0.003933325096073912,-0.00022372024461484244
FLa-FRb,-0.0036667740350376553,-0.002970241154335996
FLa-C4d,-0.003824499067903736,-0.0025444892346360706
FLa-C4t,-0.005507503516001959,-0.0025205400148157766
FLa-C4a,-0.0044728672176014995,-0.0018000642342018314
FLa-C4s,-0.003697272675154064,-0.00222689058531075
FLa-C4b,-0.0020429456879447554,-0.0006026751212550364
FLa-O2d,-8.296061368532874e-05,0.0010615533882762727
FLa-O2t,-0.0014846230635638463,-0.00117029352634868
FLa-O2a,0.0001955268502233188,0.0015531130841676887
FLa-O2s,-0.003430373647325847,-0.0017533810636811802
FLa-O2b,-0.0005234856108418855,-0.00013483796889118062
FLs-FLb,0.0010896723819396599,0.0020842415060029667
FLs-C3d,-0.0007980871718703632,1.400315764467164e-05
FLs-C3t,-0.0044518235920006696,-0.003012356633922848
FLs-C3a,-0.001314143352645653,0.0001168742586502459
FLs-C3s,-0.0036579850690434948,-0.0032290252249753473
FLs-C3b,-5.412345336433316e-05,-3.1347736055128106e-05
FLs-O1d,-0.0015905233849584713,-0.001205746268815844
FLs-O1t,-0.00158736519355983,-0.0012940386793805928
FLs-O1a,-0.0010996456458716478,-0.0009941927071909595
FLs-O1s,-0.007743334360795625,-0.004372236742630512
FLs-O1b,0.000804865306132155,0.0009047708666892864
FLs-FRd,-0.0020486099552454867,-0.0012050923038959022
FLs-FRt,-0.0020964514954758115,-0.0010624104744683532
FLs-FRa,-0.000502830826628882,0.0015712042031478738
FLs-FRs,-0.0062410619305066865,-0.0031676563516813265
FLs-FRb,-0.00013877249361803884,0.0003192944233886525
FLs-C4d,-0.0010704625104168764,-0.0013792497864283447
FLs-C4t,-0.003929971156180823,-0.00246381188478391
FLs-C4a,-0.004236103489886946,-0.001953023755112919
FLs-C4s,-0.0056504059985448855,-0.0021715852889429947
FLs-C4b,-0.0031140285324091632,-0.002191146795587374
FLs-O2d,-0.0004774958900302471,0.0005188378097800415
FLs-O2t,-0.0011332014754204933,-0.0012632764666631053
FLs-O2a,0.0014776729618278053,0.0015981279422832844
FLs-O2s,-0.008057130121377525,-0.006077408154292383
FLs-O2b,0.0016239221776113773,0.002174058563620614
FLb-C3d,-0.0003582070115487291,0.0008242144175580286
FLb-C3t,-0.005583955443802578,-0.003668677692067291
FLb-C3a,-0.0008634025527421007,0.0010270643367471528
FLb-C3s,0.0013411546363442356,0.0010834325936901364
FLb-C3b,0.001401468343181385,0.0031119185252992264
FLb-O1d,0.0018369885888495836,0.00452415923383429
FLb-O1t,0.0009244197990827752,0.000889330629547028
FLb-O1a,0.0006787748218894913,0.001724583021412688
FLb-O1s,0.0022385206893645168,0.0034596583758758014
FLb-O1b,0.002655413659034319,0.0041926134909785456
FLb-FRd,0.001806741894401908,0.004930297269200082
FLb-FRt,-0.002846158506933142,-0.0005960637290676635
FLb-FRa,0.0009121998410041172,0.0025700720637618123
FLb-FRs,-0.0006761522349697707,-0.0002923152999153345
FLb-FRb,-0.003771131752828137,-0.0007518299270318923
FLb-C4d,-0.0009271896618939634,0.0003093001002218507
FLb-C4t,-0.0038630805957420846,-0.0029936370221570513
FLb-C4a,-0.0015997614702170765,-0.001764230243051559
FLb-C4s,-0.0003810990856262654,0.00052677144309526
FLb-C4b,-0.0038914771639850182,-0.0005209666389869707
FLb-O2d,0.0022492426323453122,0.003815259976358676
FLb-O2t,0.0003923081694884955,0.0010974438267587982
FLb-O2a,0.0026697827451999537,0.00406234611102956
FLb-O2s,0.003519450887861403,0.005423027659740664
FLb-O2b,0.0013425671103186822,0.004262495709173796
C3d-C3t,-0.004328087894328205,0.0004256553528544021
C3d-C3a,-0.006560036770178771,-0.004024965138890764
C3d-C3s,-0.003099744653348503,-0.0023471065691039565
C3d-C3b,-0.002464754326646775,0.000716206303148379
C3d-O1d,0.0031893522616558436,0.004601968139442246
C3d-O1t,0.003715222037213528,0.0030403500782225992
C3d-O1a,0.002076812155210322,0.0033442809811884576
C3d-O1s,0.00030161946920008876,-0.00011026698805262373
C3d-O1b,-0.00019599596327543614,0.000954338776290007
C3d-FRd,-0.006068224863118933,-0.002041529711398821
C3d-FRt,-0.010226960192484303,-0.0056959164337159595
C3d-FRa,-0.005838821790946874,-0.0032667250378276462
C3d-FRs,-0.006570295163167768,-0.003771110248619434
C3d-FRb,-0.0049669138599733095,-0.002556198985560383
C3d-C4d,-0.002290738212318057,0.0001868586077271212
C3d-C4t,-0.00834242086130285,-0.00546974401976788
C3d-C4a,-0.005074070961942978,-0.002717274944629258
C3d-C4s,-0.0033241732695379915,-0.0021865135497924557
C3d-C4b,-0.009156054431349623,-0.005167292929289877
C3d-O2d,-0.00556491628067222,-0.0034108650507892633
C3d-O2t,0.0010987972219032977,0.0009787794045112868
C3d-O2a,0.0005807654347341727,0.0012626211994998535
C3d-O2s,-0.00032816840052855454,-0.00043104047625027505
C3d-O2b,-0.0001325947884856949,0.0003481368185888125
C3t-C3a,-0.0026000350786725126,-0.0015436286377611143
C3t-C3s,-0.002577776610179634,-0.0017849302720214853
C3t-C3b,-0.0058765390305048305,-0.0032761204535529677
C3t-O1d,-0.0019404453189839597,-0.0024871505864050734
C3t-O1t,0.0037071919197320903,0.003360733004487651
C3t-O1a,-0.0005845652505946111,-0.0005821106210979355
C3t-O1s,-0.0009910275875601464,-0.000546811961729034
C3t-O1b,-0.0029438444553933803,-0.002744565831129796
C3t-FRd,-0.006879596468105989,-0.003589610853580195
C3t-FRt,-0.006486083706112956,-0.00238527648988422
C3t-FRa,-0.008910091021704628,-0.004538322459522792
C3t-FRs,-0.010860678872456795,-0.005780443583604659
C3t-FRb,-0.010622224714612459,-0.005947028536408614
C3t-C4d,-0.0039381931539768855,-0.0013032094815391773
C3t-C4t,-0.007933137298896345,-0.0037054221284949116
C3t-C4a,-0.0073406215387871055,-0.0047949748988589625
C3t-C4s,-0.006750026583688664,-0.004018693556947049
C3t-C4b,-0.012718793295881353,-0.006371494616336357
C3t-O2d,-0.00229230100744456,-0.0013583701926689084
C3t-O2t,0.0015278950050999108,0.001312324416224943
C3t-O2a,0.00044090621118707854,0.0006528098028761783
C3t-O2s,-0.000500590694947751,-0.0003077500528184192
C3t-O2b,-0.0016908822029042976,-0.0010213566539411464
C3a-C3s,-0.0037366864749267667,-0.0008398564444487855
C3a-C3b,0.0007843405126464125,0.00047593548518940306
C3a-O1d,-0.0019675256133411386,-0.0007824419578182226
C3a-O1t,-0.0007201848815591074,-0.0006670093402230673
