,OSA,Healthy
C4d-C4a,0.0012476842936052506,0.0023449842916576915
C4d-C4s,0.0011634936935695592,0.0022134679601291595
C4d-C4b,0.00034517632479051034,0.0008376844708227928
C4d-O2d,0.00010075921430617863,0.0027852258918941086
C4d-O2t,0.0008538796330880363,0.0010945661745176743
C4d-O2a,0.0014938329670378162,0.002382995431966089
C4d-O2s,0.0022230894995215055,0.00442694823670331
C4d-O2b,0.00143199270657527,0.004637890751377325
C4t-C4a,0.002435235794277063,0.0035349881212291476
C4t-C4s,0.004352952697997113,0.004375102723219042
C4t-C4b,-0.0010075071021649904,0.0005562995255417389
C4t-O2d,-0.0005302212512272462,-0.00046278576225675246
C4t-O2t,-0.002123262163829643,-0.0011006771387743097
C4t-O2a,0.002102187283180931,0.0022175456980874125
C4t-O2s,0.0012467137477679688,0.0016787588589937392
C4t-O2b,-0.0013178600479314922,-0.0015856848340497574
C4a-C4s,0.0007442922986978213,0.0015042444551608724
C4a-C4b,-0.0025202527478146103,-0.00043734160230770696
C4a-O2d,0.002348553709617859,0.003508347773211109
C4a-O2t,0.002400466147722968,0.0025611010216793698
C4a-O2a,-0.0046231682438105616,-0.0009077397727313535
C4a-O2s,0.0024692319070943047,0.0034978167661687868
C4a-O2b,0.000820390674246231,0.0013648317365149594
C4s-C4b,0.0018137154030403984,0.0035404009136513386
C4s-O2d,0.001859646566250956,0.0032153088067032147
C4s-O2t,-0.0020872054465264807,-0.001392482393424104
C4s-O2a,0.00227758527209442,0.004026826683779471
C4s-O2s,-0.0011922237818946292,-0.0006741711865759089
C4s-O2b,-0.0003744330587038433,0.0015704762214595763
C4b-O2d,0.002963194060464719,0.00463147665667681
C4b-O2t,-0.0015940782388630351,-0.001349632833570764
C4b-O2a,0.0010466538277799878,0.002075418804116954
C4b-O2s,0.0002820879466333854,0.0017980486796619383
C4b-O2b,-0.0007591024023034896,0.0015539462492507822
O2d-O2t,0.0020187459167912095,0.002631039370153709
O2d-O2a,0.002740649642040428,0.006258310380440987
O2d-O2s,0.0032104747657139263,0.005228137471722014
O2d-O2b,0.003589181341384989,0.007038802588648761
O2t-O2a,0.003770740115044501,0.005654446047698715
O2t-O2s,0.0028210780763807267,0.00420875945925733
O2t-O2b,0.0014127151700143018,0.0034405593397366895
O2a-O2s,-0.0029058555053885974,0.0009156006248837268
O2a-O2b,-0.000548496689024578,0.00021122170922056922
O2s-O2b,-0.001514238783534984,0.0014561353122598427
